date,time,open,close,high,low,volume
2020-06-30,05:30:00,1370.0,1358.65,1384.95,1356.1,548385
2020-07-01,05:30:00,1363.65,1363.05,1377.0,1356.0,382997
2020-07-02,05:30:00,1440.0,1412.35,1467.8,1395.3,2158418
2020-07-03,05:30:00,1415.0,1405.1,1425.0,1398.0,599488
2020-07-06,05:30:00,1405.5,1400.75,1415.5,1394.0,614933
2020-07-07,05:30:00,1410.0,1397.4,1411.0,1390.05,480214
2020-07-08,05:30:00,1397.0,1390.1,1413.35,1384.6,472306
2020-07-09,05:30:00,1396.0,1385.05,1400.0,1381.15,352999
2020-07-10,05:30:00,1375.0,1400.95,1444.0,1360.0,1832270
2020-07-13,05:30:00,1444.0,1397.35,1444.0,1386.35,1325294
2020-07-14,05:30:00,1387.0,1362.15,1387.0,1355.55,755567
2020-07-15,05:30:00,1365.15,1351.95,1379.0,1350.0,554120
2020-07-16,05:30:00,1355.0,1364.2,1379.0,1335.0,528436
2020-07-17,05:30:00,1374.0,1370.95,1400.0,1366.7,807945
2020-07-20,05:30:00,1380.0,1376.45,1389.0,1371.0,505497
2020-07-21,05:30:00,1381.5,1390.2,1412.2,1376.45,1155149
2020-07-22,05:30:00,1395.0,1372.95,1398.7,1370.0,458144
2020-07-23,05:30:00,1373.1,1371.5,1386.0,1365.05,419217
2020-07-24,05:30:00,1365.1,1357.85,1372.0,1356.0,376199
2020-07-27,05:30:00,1358.0,1344.85,1361.05,1342.05,320916
2020-07-28,05:30:00,1345.0,1345.55,1354.0,1340.0,256364
2020-07-29,05:30:00,1345.0,1352.75,1369.0,1343.05,385496
2020-07-30,05:30:00,1351.0,1340.7,1359.95,1340.0,261621
2020-07-31,05:30:00,1345.8,1335.85,1346.7,1332.15,214884
2020-08-03,05:30:00,1337.0,1339.7,1362.0,1334.2,293417
2020-08-04,05:30:00,1336.0,1339.8,1347.9,1335.2,226477
2020-08-05,05:30:00,1345.0,1336.95,1347.0,1335.0,221229
2020-08-06,05:30:00,1337.5,1334.55,1347.05,1330.2,300335
2020-08-07,05:30:00,1335.0,1331.35,1339.0,1330.0,270307
2020-08-10,05:30:00,1332.0,1323.75,1337.0,1320.45,307775
2020-08-11,05:30:00,1324.0,1372.05,1384.3,1315.05,1109433
2020-08-12,05:30:00,1350.0,1386.8,1414.0,1350.0,1764191
2020-08-13,05:30:00,1398.0,1384.1,1411.9,1375.1,688942
2020-08-14,05:30:00,1385.05,1368.6,1409.5,1350.05,986495
2020-08-17,05:30:00,1378.0,1383.55,1403.6,1360.3,870687
2020-08-18,05:30:00,1380.0,1377.65,1389.9,1375.0,342010
2020-08-19,05:30:00,1386.0,1361.8,1402.0,1338.0,1279857
2020-08-20,05:30:00,1345.0,1347.05,1357.45,1332.25,610627
2020-08-21,05:30:00,1350.1,1341.8,1358.9,1335.5,427626
2020-08-24,05:30:00,1342.0,1338.1,1350.0,1335.3,349571
2020-08-25,05:30:00,1348.0,1341.75,1355.65,1340.0,364439
2020-08-26,05:30:00,1345.05,1369.3,1387.2,1342.2,1102150
2020-08-27,05:30:00,1374.5,1367.5,1384.0,1365.0,330141
2020-08-28,05:30:00,1366.0,1366.5,1379.8,1362.55,323813
2020-08-31,05:30:00,1399.0,1344.25,1399.0,1336.0,582689
2020-09-01,05:30:00,1336.0,1351.5,1365.0,1336.0,334563
2020-09-02,05:30:00,1363.0,1359.75,1369.9,1353.1,246512
2020-09-03,05:30:00,1366.0,1368.7,1388.0,1361.2,499625
2020-09-04,05:30:00,1348.0,1365.2,1369.0,1348.0,318122
2020-09-07,05:30:00,1390.0,1414.85,1451.65,1366.0,3210807
2020-09-08,05:30:00,1421.0,1379.45,1459.9,1350.0,3200805
